status,kelompok,golongan,subgol,kode,subkode,ket,posisi,sdawl,mutdeb,mutkre,sdakh
AKTIF,ANGGARAN,ABTT,PENDAPATAN,KOLEKTE,2111-01,MISAUMUM,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,PENDAPATAN,KOLEKTE,2111-02,MISAKHUSUS,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,PENDAPATAN,BANTUAN,2112-01,LEMBAGA,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,PENDAPATAN,BANTUAN,2112-02,PERORANGAN,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,PENDAPATAN,UMUM,2113-01,BUNGABANK,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,PROGRAM,2121-01,BIDANG,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,PROGRAM,2121-02,TIMPELAYANAN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-01,GEREJA,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-02,RUMAHTANGGA,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-03,KEAMANAN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-04,ADMINISTRASI,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-05,DEVOSIONALIA,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-06,AULAPAROKI,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-07,DEWANPASTORAL,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-08,PENYUSUTAN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-09,PAJAKBUNGABANK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-10,ADMINISTRASIBANK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,RUTIN,2122-11,PAJAK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,KARYAWAN,2123-01,GAJITUNJANGANDANUPAH,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,INVENTARIS,2124-01,PERAWATANKENDARAAN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,INVENTARIS,2124-02,PERAWATANTANAHDANGEDUNG,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTT,BIAYA,INVENTARIS,2124-03,PERAWATANPERALATAN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,BANTUAN,2211-01,PENDIDIKAN,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,BANTUAN,2211-02,KESEHATAN,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,BANTUAN,2211-03,SEMINARI,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,UMUM,2212-01,DANAPAPAMISKIN,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,UMUM,2212-02,APP,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,UMUM,2212-03,PANGRUKTILAYA,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,UMUM,2212-04,BKSY,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,UMUM,2212-05,PENDINGCOFFEE,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,PENDAPATAN,UMUM,2212-06,BUNGABANK,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-01,DANAPAPAMISKIN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-02,PENDIDIKAN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-03,KESEHATAN,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-04,SEMINARI,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-05,APP,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-06,PANGRUKTILAYA,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-07,BKSY,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,UMUM,2213-08,PENDINGCOFFEE,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,RUTIN,2214-01,PAJAKBUNGABANK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,RUTIN,2214-02,ADMINISTRASIBANK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-NP,BIAYA,RUTIN,2214-03,PAJAK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,PENDAPATAN,KOLEKTE,2311-01,MISAUMUM,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,PENDAPATAN,KOLEKTE,2311-02,MISAKHUSUS,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,PENDAPATAN,BANTUAN,2312-01,LEMBAGA,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,PENDAPATAN,BANTUAN,2312-02,PERORANGAN,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,PENDAPATAN,UMUM,2313-01,BUNGABANK,PASIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,BIAYA,RUTIN,2321-01,PAJAKBUNGABANK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,BIAYA,RUTIN,2321-02,ADMINISTRASIBANK,AKTIVA,0,0,0,0
AKTIF,ANGGARAN,ABTS-P,BIAYA,RUTIN,2321-03,PAJAK,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,SETARAKAS,1111-01,KAS,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,SETARAKAS,1111-02,BANK,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,SETARAKAS,1111-03,DEPOSITO,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,SETARAKAS,1111-04,GIRO,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,PIUTANG,1112-01,LEMBAGA,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,PIUTANG,1112-02,PERORANGAN,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,PIUTANG,1112-03,BIDANG,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,PIUTANG,1112-04,TIMPELAYANAN,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,PERSEDIAAN,1113-01,PERSEDIAAN,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETLANCAR,PERLENGKAPAN,1113-02,HABISPAKAI,AKTIVA,0,0,0,0
AKTIF,NERACA,ASET,ASETTETAP,TIDAKBERGERAK,1121-01,TANAH,AKTIVA,0,0,0,0
